gene_id,gene_name
ensmusg00000079470,utp14b
ensmusg00000099377,gm6159
ensmusg00000099706,gm29536
ensmusg00000047330,kcne4
ensmusg00000101324,gm29187
ensmusg00000072978,gm5830
ensmusg00000046334,gm6195
ensmusg00002075801,gm54812
ensmusg00000050711,scg2
ensmusg00000099562,gm19027
ensmusg00000077782,gm24160
ensmusg00000055067,smyd3
ensmusg00000054702,ap1s3
ensmusg00000096474,gm5561
ensmusg00000102235,gm37886
ensmusg00000026492,tfb2m
ensmusg00000082395,gm15480
ensmusg00000038949,cnst
ensmusg00000026043,col3a1
ensmusg00000046101,mcmdc2
ensmusg00002074901,gm54819
ensmusg00000093178,snord87
ensmusg00000099032,tcf24
ensmusg00000104025,e330040d14rik
ensmusg00000038936,sccpdh
ensmusg00000042772,smg7
ensmusg00000100394,gm28791
ensmusg00000103840,1700040k01rik
ensmusg00000087236,kif28
ensmusg00000100702,gm8976
ensmusg00000026042,col5a2
ensmusg00000104476,gm38211
ensmusg00000073643,wdfy1
ensmusg00000104497,gm10555
ensmusg00000025916,ppp1r42
ensmusg00000087199,gm15818
ensmusg00000026248,mrpl44
ensmusg00000119658,gm24674
ensmusg00000026249,serpine2
ensmusg00000042751,nmnat2
ensmusg00000067106,gm5529
ensmusg00000099969,gm28960
ensmusg00000100397,gm28071
ensmusg00000099753,gm28058
ensmusg00000118883,gm23934
ensmusg00000102518,gm38339
ensmusg00000043230,fam124b
ensmusg00000103404,gm37932
ensmusg00000026491,ahctf1
ensmusg00000025917,cops5
ensmusg00000104418,gm37070
ensmusg00000026479,lamc2
ensmusg00000004364,cul3
ensmusg00000103076,gm37902
ensmusg00000103525,gm37262
ensmusg00000090637,gm6189
ensmusg00000026478,lamc1
ensmusg00000110100,gm45261
ensmusg00000103818,gm38009
ensmusg00000079138,gm8818
ensmusg00000042708,shcbp1l
ensmusg00000064435,gm25588
ensmusg00000103543,gm37669
ensmusg00000041144,dnah7b
ensmusg00000119743,n-r5s211
ensmusg00000042699,dhx9
ensmusg00000101262,gm8326
ensmusg00000042684,npl
ensmusg00000099858,gm6652
ensmusg00000101337,dnah7c
ensmusg00000025986,slc39a10
ensmusg00000100213,gm28151
ensmusg00000103129,gm37393
ensmusg00000100160,gm28527
ensmusg00000101921,gm28825
ensmusg00000101447,gm28826
ensmusg00000081185,gm4852
ensmusg00000103246,gm38090
ensmusg00000098876,mir6350
ensmusg00000100530,gm18117
ensmusg00000104067,gm37196
ensmusg00000100033,gm8337
ensmusg00002075213,gm54870
ensmusg00002076633,gm54871
ensmusg00000101996,gm19206
ensmusg00000096973,gm5974
ensmusg00000064943,gm23240
ensmusg00000100866,gm28830
ensmusg00000101721,gm8354
ensmusg00000099376,gm19124
ensmusg00000097883,gm8357
ensmusg00002076043,gm54872
ensmusg00000099698,gm28740
ensmusg00000056763,cspp1
ensmusg00000099454,gm8367
ensmusg00000051616,c230029f24rik
ensmusg00000099627,gm6757
ensmusg00000099577,gm3605
ensmusg00000099882,gm28388
ensmusg00000101760,gm8384
ensmusg00000102356,1700047n06rik
ensmusg00000099864,gm8391
ensmusg00002075839,gm54883
ensmusg00000100451,gm29665
ensmusg00000099941,gm20118
ensmusg00002075589,gm54885
ensmusg00000100816,gm28321
ensmusg00000042671,rgs8
ensmusg00000100945,gm29529
ensmusg00000102404,5530400k19rik
ensmusg00000026109,tmeff2
ensmusg00000026475,rgs16
ensmusg00000100671,gm28322
ensmusg00002075527,gm54895
ensmusg00000101242,gm28319
ensmusg00000099924,gm28320
ensmusg00000099625,gm29325
ensmusg00000045954,cavin2
ensmusg00000099741,gm5253
ensmusg00000066800,rnasel
ensmusg00000067851,arfgef1
ensmusg00002076532,gm54899
ensmusg00000102556,gm37569
